search_engine,search_string,title,media,timestamp,link
Bing,Tata Merger,Who Is Mohini Mohan Dutta? Ratan Tata’s Will Leaves Rs 500 Crore to Mystery Beneficiary,Newsx,3d,https://www.newsx.com/business/who-is-mohini-mohan-dutta-ratan-tatas-will-leaves-rs-500-crore-to-mystery-beneficiary/
Bing,Tata Merger,Merger mania: Will big listed companies get to skip the company court?,Livemint,6d,https://www.livemint.com/companies/nclt-mergers-and-acquisitions-cci-finance-minister-nirmala-sitharaman-kwality-wall-cyril-amarchand-mangaldas-11738587825301.html
Bing,Tata Merger,"Meet Mohini Mohan Dutta, The Unexpected Beneficiary In Ratan Tata’s Will",News18,3d,https://www.news18.com/business/meet-mohini-mohan-dutta-the-unexpected-beneficiary-in-ratan-tatas-will-9218260.html
Bing,Tata Merger,Tata Capital sets stage for IPO with articles of association update,Business-standard,9d,https://www.business-standard.com/markets/ipo/tata-capital-sets-stage-for-ipo-with-articles-of-association-update-125013101256_1.html
Bing,Tata Merger,Ratan Tata bequeaths ₹500 crore to mystery man; Who is Mohini Mohan Dutta?,Fortuneindia,3d,https://www.fortuneindia.com/enterprise/ratan-tata-bequeaths-500-crore-to-mystery-man-who-is-mohini-mohan-dutta/120446
Bing,Tata Merger,"Who is Mohini Mohan Dutta, the man who gets ₹500 crore in Ratan Tata’s will",Cnbctv18,3d,https://www.cnbctv18.com/business/ratan-tata-will-names-mystery-beneficiary-who-is-mohini-mohan-dutta-19554257.htm
Bing,Tata Merger,Who is Mohini Mohan Dutta? Mystery man to inherit Ratan Tata's USD 57 million will,Msn,2d,https://www.msn.com/en-in/autos/news/who-is-mohini-mohan-dutta-mystery-man-to-inherit-ratan-tatas-usd-57-million-will/ar-AA1yBpSo?ocid=BingNewsVerp
Bing,Tata Merger,"Tata Motors demerger: What TaMo said on NOC, approvals for business split - Appointed, effective date 2025",Msn,12d,https://www.msn.com/en-in/autos/news/tata-motors-demerger-what-tamo-said-on-noc-approvals-for-business-split-appointed-effective-date-2025/ar-AA1y3xGY?ocid=BingNewsVerp
Bing,Tata Merger,"Meet Mohini Mohan Dutta, The Unexpected Beneficiary In Ratan Tata’s Will",News18,3d,https://www.news18.com/business/meet-mohini-mohan-dutta-the-unexpected-beneficiary-in-ratan-tatas-will-9218260.html
Bing,Tata Merger,Tata Motors Demerger: Commercial and Passenger Vehicles To Form Separate Listed Entities - Check Ratio,Msn,6d,https://www.msn.com/en-in/autos/news/tata-motors-demerger-commercial-and-passenger-vehicles-to-form-separate-listed-entities-check-ratio/ar-AA1yn48H?ocid=BingNewsVerp
Bing,Tata Merger,Tata Capital sets stage for IPO with articles of association update,Business-standard,9d,https://www.business-standard.com/markets/ipo/tata-capital-sets-stage-for-ipo-with-articles-of-association-update-125013101256_1.html
Bing,Tata Merger,"India to ditch privatisation plans, pour billions in state-run firms, sources say",Msn,13d,https://www.msn.com/en-in/money/news/modi-govt-said-to-ditch-privatisation-plans-pour-billions-in-state-run-firms/ar-AA1xVLwK?ocid=BingNewsVerp
Bing,Tata Merger,Several companies turn to mutual funds to help finance acquisitions,Business-standard,4d,https://www.business-standard.com/companies/news/several-companies-turn-to-mutual-funds-to-help-finance-acquisitions-125020401689_1.html
Yahoo,Tata Merger,"Ratan Tata, austere Indian tycoon who bought Jaguar Land Rover but lost a fortune on British steel",The Telegraph·  via Yahoo Finance,4 months ago,https://r.search.yahoo.com/_ylt=Awr49WpA7qln8.ojxCLQtDMD;_ylu=Y29sbwNncTEEcG9zAzEEdnRpZAMEc2VjA3Ny/RV=2/RE=1739218625/RO=10/RU=https%3a%2f%2ffinance.yahoo.com%2fnews%2fratan-tata-austere-indian-tycoon-150523359.html%3ffr%3dsycsrp_catchall/RK=2/RS=xCCboUcWztHc8qd_3nT.ldl5WR4-
Yahoo,Tata Merger,"Disney strikes deal to sell stake in India's Tata Play, Bloomberg News reports",Reuters·  via Yahoo Finance,9 months ago,https://r.search.yahoo.com/_ylt=Awr49WpA7qln8.ojxiLQtDMD;_ylu=Y29sbwNncTEEcG9zAzIEdnRpZAMEc2VjA3Ny/RV=2/RE=1739218625/RO=10/RU=https%3a%2f%2ffinance.yahoo.com%2fnews%2fdisney-strikes-deal-sell-stake-161500120.html%3ffr%3dsycsrp_catchall/RK=2/RS=SEv_Bk2451tJQ9eWNFpcDRUuarE-
Yahoo,Tata Merger,"India's Tata Sons raises stake in Tata Play, Temasek exits, Economic Times reports",Reuters·  via Yahoo Finance,9 months ago,https://r.search.yahoo.com/_ylt=Awr49WpA7qln8.ojyCLQtDMD;_ylu=Y29sbwNncTEEcG9zAzMEdnRpZAMEc2VjA3Ny/RV=2/RE=1739218625/RO=10/RU=https%3a%2f%2ffinance.yahoo.com%2fnews%2findias-tata-sons-raises-stake-034639433.html%3ffr%3dsycsrp_catchall/RK=2/RS=enEI_emu1yPLF4zDeOskseHIRLc-
Yahoo,Tata Merger,Disney Is Said to Sell Stake in Tata’s India TV Platform,Bloomberg·  via Yahoo Finance,9 months ago,https://r.search.yahoo.com/_ylt=Awr49WpA7qln8.ojyiLQtDMD;_ylu=Y29sbwNncTEEcG9zAzQEdnRpZAMEc2VjA3Ny/RV=2/RE=1739218625/RO=10/RU=https%3a%2f%2ffinance.yahoo.com%2fnews%2fdisney-said-sell-stake-tata-022649109.html%3ffr%3dsycsrp_catchall/RK=2/RS=P7J2vcONuK4qsuhoUnFLJpIDceU-
Yahoo,Tata Merger,Air India CEO meets India antitrust chief on pending Vistara merger -sources,Reuters·  via Yahoo Finance,2 years ago,https://r.search.yahoo.com/_ylt=Awr49WpA7qln8.ojzCLQtDMD;_ylu=Y29sbwNncTEEcG9zAzUEdnRpZAMEc2VjA3Ny/RV=2/RE=1739218625/RO=10/RU=https%3a%2f%2ffinance.yahoo.com%2fnews%2fair-india-ceo-meets-india-112842687.html%3ffr%3dsycsrp_catchall/RK=2/RS=Vtf1WdDVn0wu9xh1IJLOlDOj2vQ-
Yahoo,Tata Merger,Air India strives to revive its fortunes with Tata money,Reuters·  via Yahoo Finance,2 years ago,https://r.search.yahoo.com/_ylt=Awr49WpA7qln8.ojziLQtDMD;_ylu=Y29sbwNncTEEcG9zAzYEdnRpZAMEc2VjA3Ny/RV=2/RE=1739218625/RO=10/RU=https%3a%2f%2ffinance.yahoo.com%2fnews%2fair-india-strives-revive-fortunes-153729188.html%3ffr%3dsycsrp_catchall/RK=2/RS=.i.km9E83bGRTrbQVKQDzFNrffU-
Yahoo,Tata Merger,Deal to create one of world’s largest airline groups gets regulator approval,The Independent US·  via AOL,5 months ago,https://r.search.yahoo.com/_ylt=Awr49WpA7qln8.oj0CLQtDMD;_ylu=Y29sbwNncTEEcG9zAzcEdnRpZAMEc2VjA3Ny/RV=2/RE=1739218625/RO=10/RU=https%3a%2f%2fwww.aol.com%2fdeal-create-one-world-largest-114826582.html/RK=2/RS=.OSaGR9kfpErf_rDAP9VYvWxCxk-
